104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/hudson.console.ExpandableDetailsNote/script.js HTTP/1.1" 200 200
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/hudson.console.ExpandableDetailsNote/style.css HTTP/1.1" 200 114
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/hudson.plugins.gradle.GradleOutcomeNote/style.css HTTP/1.1" 200 132
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/hudson.plugins.gradle.GradleTaskNote/script.js HTTP/1.1" 200 726
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/hudson.plugins.gradle.GradleTaskNote/style.css HTTP/1.1" 200 115
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/org.jenkinsci.plugins.workflow.job.console.NewNodeConsoleNote/script.js HTTP/1.1" 200 1767
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/descriptor/org.jenkinsci.plugins.workflow.job.console.NewNodeConsoleNote/style.css HTTP/1.1" 200 109
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/images/title.svg HTTP/1.1" 200 3455
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/static/76245146/images/jenkins-header-logo-v2.svg HTTP/1.1" 200 15179
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/adjuncts/76245146/jenkins/management/AdministrativeMonitorsDecorator/resources.js HTTP/1.1" 200 882
104.35.128.230 - - [03/Feb/2022:22:23:59 +0000] "GET /jenkins/adjuncts/76245146/hudson/model/UsageStatistics/footer-resources.js HTTP/1.1" 200 192
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/up.svg HTTP/1.1" 200 8222
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/search.svg HTTP/1.1" 200 15756
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/document.svg HTTP/1.1" 200 20772
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/notepad.svg HTTP/1.1" 200 25198
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/edit-delete.svg HTTP/1.1" 200 8974
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/terminal.svg HTTP/1.1" 200 18189
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/svgs/previous.svg HTTP/1.1" 200 28377
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/plugin/git/icons/git-icon.svg HTTP/1.1" 200 2360
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/material-icons/svg-sprite-social-symbol.svg HTTP/1.1" 200 10435
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/material-icons/svg-sprite-action-symbol.svg HTTP/1.1" 200 62939
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/static/76245146/images/build-status/build-status-sprite.svg HTTP/1.1" 200 2868
104.35.128.230 - - [03/Feb/2022:22:24:00 +0000] "GET /jenkins/images/build-status/build-status-sprite.svg HTTP/1.1" 200 2868
